Word,Unit,Qty,Srv,Ing
piece,B-Unit,O,O,O
orange,O,O,O,B-Ing
peel,O,O,O,I-Ing
to,O,O,O,O
taste,O,O,O,O
method,O,O,O,O
:,O,O,O,O
cut,O,O,O,O
fine,O,O,O,O
the,O,O,O,O
seeded,O,O,O,O
grapes,O,O,O,O
cher,O,O,O,O
##ries,O,O,O,O
and,O,O,O,O
nut,O,O,O,O
meat,O,O,O,O
##s,O,O,O,O
.,O,O,O,O
grind,O,O,O,O
orange,O,O,O,O
##s,O,O,O,O
and,O,O,O,O
a,O,O,O,O
small,O,O,O,O
piece,O,O,O,O
of,O,O,O,O
ci,O,O,O,O
##tron,O,O,O,O
.,O,O,O,O
dissolve,O,O,O,O
gel,O,O,O,O
##atin,O,O,O,O
##e,O,O,O,O
;,O,O,O,O
whip,O,O,O,O
cream,O,O,O,O
and,O,O,O,O
add,O,O,O,O
to,O,O,O,O
salad,O,O,O,O
dressing,O,O,O,O
and,O,O,O,O
fruit,O,O,O,O
mixture,O,O,O,O
.,O,O,O,O
put,O,O,O,O
in,O,O,O,O
mo,O,O,O,O
##uld,O,O,O,O
.,O,O,O,O
let,O,O,O,O
it,O,O,O,O
stand,O,O,O,O
four,O,O,O,O
hours,O,O,O,O
.,O,O,O,O
(,O,O,O,O
put,O,O,O,O
piece,O,O,O,O
of,O,O,O,O
oil,O,O,O,O
paper,O,O,O,O
in,O,O,O,O
mo,O,O,O,O
##uld,O,O,O,O
as,O,O,O,O
it,O,O,O,O
helps,O,O,O,O
to,O,O,O,O
get,O,O,O,O
it,O,O,O,O
out,O,O,O,O
.,O,O,O,O
),O,O,O,O
helen,O,O,O,O
g,B-Unit,O,O,O
.,O,O,O,O
burger,O,O,O,O
##t,B-Unit,O,O,O
cedar,O,O,O,O
rapids,O,O,O,O
iowa,O,O,O,O
coe,O,O,O,O
college,O,O,O,O
.,O,O,O,O
c,O,O,O,O
o,O,O,O,O
l,O,O,O,O
l,O,O,O,O
e,O,O,O,O
g,O,O,O,O
e,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
42,O,O,O,O
cherry,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
package,B-Unit,O,O,O
lemon,O,O,O,B-Ing
je,O,O,O,I-Ing
##llo,O,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
chopped,O,O,O,B-Ing
ce,O,O,O,I-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
1,O,B-Qty,O,O
qu,B-Unit,O,O,O
##art,I-Unit,O,O,O
red,O,O,O,I-Ing
cher,O,O,O,I-Ing
##ries,O,O,O,I-Ing
small,B-Unit,O,O,O
bottle,I-Unit,O,O,O
pi,O,O,O,B-Ing
##mento,O,O,O,I-Ing
olive,O,O,O,I-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
broken,O,O,O,B-Ing
black,O,O,O,I-Ing
walnut,O,O,O,I-Ing
##s,O,O,O,I-Ing
mix,O,O,O,O
one,O,O,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
heated,O,O,O,O
cherry,O,O,O,O
juice,O,O,O,O
with,O,O,O,O
the,O,O,O,O
je,O,O,O,O
##llo,O,O,O,O
(,O,O,O,O
or,O,O,O,O
cherry,O,O,O,O
juice,O,O,O,O
and,O,O,O,O
water,O,O,O,O
),O,O,O,O
;,O,O,O,O
when,O,O,O,O
beginning,O,O,O,O
to,O,O,O,O
harden,O,O,O,O
add,O,O,O,O
two,O,O,O,O
cups,B-Unit,O,O,O
strained,O,O,O,O
cher,O,O,O,O
##ries,O,O,O,O
walnut,O,O,O,O
##s,O,O,O,O
one,O,O,O,O
cup,B-Unit,O,O,O
ce,O,O,O,O
##ler,O,O,O,O
##y,O,O,O,O
and,O,O,O,O
pi,O,O,O,O
##mento,O,O,O,O
olive,O,O,O,O
##s,O,O,O,O
sliced,O,O,O,O
.,O,O,O,O
put,O,O,O,O
in,O,O,O,O
ind,O,O,O,O
##i,O,O,O,O
-,O,O,O,O
vi,O,O,O,O
##du,O,O,O,O
##al,O,O,O,O
mold,O,O,O,O
##s,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
leaves,O,O,O,O
with,O,O,O,O
mayo,O,O,O,O
##nna,O,O,O,O
##ise,O,O,O,O
and,O,O,O,O
whipped,O,O,O,O
cream,O,O,O,O
on,O,O,O,O
top,O,O,O,O
.,O,O,O,O
margaret,O,O,O,O
middle,O,O,O,O
##ka,O,O,O,O
##uf,O,O,O,O
chicago,O,O,O,O
iii,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
wisconsin,O,O,O,O
.,O,O,O,O
ni,O,O,O,O
##ppy,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
package,B-Unit,O,O,O
lemon,O,O,O,B-Ing
je,O,O,O,I-Ing
##llo,O,O,O,O
1,O,B-Qty,O,O
stalk,B-Unit,O,O,O
ce,O,O,O,B-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
2,O,B-Qty,O,O
dil,B-Unit,O,O,B-Ing
##l,I-Unit,O,O,I-Ing
pick,I-Unit,O,O,I-Ing
##les,I-Unit,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
english,O,O,O,B-Ing
walnut,O,O,O,I-Ing
meat,O,O,O,I-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
apple,B-Unit,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
mayo,O,O,O,B-Ing
##nna,O,O,O,I-Ing
##ise,O,O,O,I-Ing
cut,O,O,O,O
je,O,O,O,O
##llo,O,O,O,O
in,O,O,O,O
squares,O,O,O,O
place,O,O,O,O
on,O,O,O,O
a,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
leaf,O,O,O,O
on,O,O,O,O
a,O,O,O,O
salad,O,O,O,O
plate,O,O,O,O
.,O,O,O,O
cut,O,O,O,O
up,O,O,O,O
pick,O,O,O,O
##les,O,O,O,O
apple,O,O,O,O
and,O,O,O,O
ce,O,O,O,O
##ler,O,O,O,O
##y,O,O,O,O
.,O,O,O,O
mix,O,O,O,O
together,O,O,O,O
and,O,O,O,O
put,O,O,O,O
a,O,O,O,O
couple,O,O,O,O
of,O,O,O,O
tea,O,O,O,O
##sp,O,O,O,O
##oon,O,O,O,O
##ful,O,O,O,O
##s,O,O,O,O
around,O,O,O,O
the,O,O,O,O
je,O,O,O,O
##llo,O,O,O,O
.,O,O,O,O
put,O,O,O,O
on,O,O,O,O
mayo,O,O,O,O
##nna,O,O,O,O
##ise,O,O,O,O
and,O,O,O,O
sp,O,O,O,O
##rin,O,O,O,O
##kle,O,O,O,O
nut,O,O,O,O
meat,O,O,O,O
##s,O,O,O,O
on,O,O,O,O
the,O,O,O,O
top,O,O,O,O
.,O,O,O,O
leon,O,O,O,O
##ore,O,O,O,O
berlin,O,O,O,O
co,O,O,O,O
##uder,O,O,O,O
##sport,O,O,O,O
pa,O,O,O,O
.,O,O,O,O
allegheny,O,O,O,O
college,O,O,O,O
.,O,O,O,O
date,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
pound,B-Unit,O,O,O
dates,O,O,O,B-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
chopped,O,O,O,B-Ing
apples,O,O,O,I-Ing
3,O,B-Qty,O,O
orange,B-Unit,O,O,B-Ing
##s,I-Unit,O,O,I-Ing
1,O,B-Qty,O,O
cup,B-Unit,O,O,O
chopped,O,O,O,B-Ing
ce,O,O,O,I-Ing
##ler,O,O,O,I-Ing
##y,O,O,O,I-Ing
1,O,B-Qty,O,O
head,B-Unit,O,O,O
let,O,O,O,B-Ing
##tu,O,O,O,I-Ing
##ce,O,O,O,I-Ing
fruit,O,O,O,O
salad,O,O,O,O
dressing,O,O,O,O
clean,O,O,O,O
and,O,O,O,O
stone,O,O,O,O
dates,O,O,O,O
cut,O,O,O,O
in,O,O,O,O
thin,O,O,O,O
strips,O,O,O,O
;,O,O,O,O
mix,O,O,O,O
apples,O,O,O,O
ce,O,O,O,O
##ler,O,O,O,O
##y,O,O,O,O
and,O,O,O,O
half,O,O,O,O
dates,O,O,O,O
with,O,O,O,O
dressing,O,O,O,O
place,O,O,O,O
the,O,O,O,O
sliced,O,O,O,O
orange,O,O,O,O
on,O,O,O,O
shredded,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
spread,O,O,O,O
evenly,O,O,O,O
with,O,O,O,O
apple,O,O,O,O
and,O,O,O,O
ce,O,O,O,O
##ler,O,O,O,O
##y,O,O,O,O
mixture,O,O,O,O
continue,O,O,O,O
until,O,O,O,O
all,O,O,O,O
is,O,O,O,O
used,O,O,O,O
and,O,O,O,O
top,O,O,O,O
with,O,O,O,O
dressing,O,O,O,O
and,O,O,O,O
ga,O,O,O,O
##rn,O,O,O,O
##ish,O,O,O,O
with,O,O,O,O
the,O,O,O,O
rest,O,O,O,O
of,O,O,O,O
the,O,O,O,O
dates,O,O,O,O
.,O,O,O,O
ruth,O,O,O,O
palmer,O,O,O,O
akron,O,O,O,O
ohio,O,O,O,O
.,O,O,O,O
university,O,O,O,O
of,O,O,O,O
akron,O,O,O,O
.,O,O,O,O
fluffy,O,O,O,O
salad,O,O,O,O
cabbage,O,O,O,O
36,O,B-Qty,O,O
marsh,B-Unit,O,O,B-Ing
##mal,I-Unit,O,O,I-Ing
##low,I-Unit,O,O,I-Ing
##s,I-Unit,O,O,I-Ing
2,O,B-Qty,O,O
cups,B-Unit,O,O,O
shredded,O,O,O,B-Ing
pine,O,O,O,I-Ing
##apple,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
of,O,O,O,O
whipped,O,O,O,B-Ing
cream,O,O,O,I-Ing
6,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
mayo,O,O,O,B-Ing
##nna,O,O,O,I-Ing
##ise,O,O,O,I-Ing
salt,O,O,O,B-Ing
six,O,B-Qty,O,O
cups,B-Unit,O,O,O
of,O,O,O,O
shredded,O,O,O,B-Ing
cabbage,O,O,O,I-Ing
add,O,O,O,O
two,O,O,O,O
cups,O,O,O,O
of,O,O,O,O
shredded,O,O,O,O
pine,O,O,O,O
##apple,O,O,O,O
.,O,O,O,O
stir,O,O,O,O
in,O,O,O,O
the,O,O,O,O
whipped,O,O,O,O
cream,O,O,O,O
to,O,O,O,O
which,O,O,O,O
the,O,O,O,O
mayo,O,O,O,O
##nna,O,O,O,O
##ise,O,O,O,O
has,O,O,O,O
been,O,O,O,O
added,O,O,O,O
.,O,O,O,O
al,O,O,O,O
##oh,O,O,O,O
##a,O,O,O,O
me,O,O,O,O
##hl,O,O,O,O
carl,O,O,O,O
##in,O,O,O,O
go,O,O,O,O
##sh,O,O,O,O
##en,O,O,O,O
ind,O,O,O,O
.,O,O,O,O
de,O,O,O,O
pau,O,O,O,O
##w,O,O,O,O
university,O,O,O,O
.,O,O,O,O
c,O,O,O,O
o,O,O,O,O
l,O,O,O,O
l,O,O,O,O
e,O,O,O,O
g,O,O,O,O
e,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
43,O,O,O,O
florence,O,O,O,O
browne,O,O,O,O
##ll,O,O,O,O
de,O,O,O,O
ya,O,O,O,O
##rman,O,O,O,O
cedar,O,O,O,O
rapids,O,O,O,O
ia,O,O,O,O
.,O,O,O,O
coe,O,O,O,O
college,O,O,O,O
.,O,O,O,O
twenty,O,O,O,O
-,O,O,O,O
four,O,O,O,O
hour,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
large,B-Unit,O,O,O
can,I-Unit,O,O,O
sliced,O,O,O,B-Ing
pine,O,O,O,I-Ing
##apple,O,O,O,I-Ing
yo,B-Unit,O,O,B-Ing
##lk,I-Unit,O,O,I-Ing
##s,O,O,O,I-Ing
of,O,O,O,I-Ing
4,O,B-Qty,O,I-Ing
eggs,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
pound,B-Unit,O,O,O
marsh,O,O,O,B-Ing
##mal,O,O,O,I-Ing
##low,O,O,O,I-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
cream,O,O,O,B-Ing
1,O,B-Qty,O,O
pound,B-Unit,O,O,O
almond,O,O,O,B-Ing
##s,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
whipping,O,O,O,B-Ing
cream,O,O,O,I-Ing
blanche,O,O,O,O
##d,O,O,O,O
pinch,B-Unit,O,O,O
of,O,O,O,O
salt,O,O,O,B-Ing
2,O,B-Qty,O,O
tables,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##ns,I-Unit,O,O,O
of,O,O,O,O
sugar,O,O,O,B-Ing
place,O,O,O,O
over,O,O,O,O
fire,O,O,O,O
in,O,O,O,O
a,O,O,O,O
double,O,O,O,O
boiler,O,O,O,O
one,O,O,O,O
-,O,O,O,O
half,O,O,O,O
pin,O,O,O,O
##t,O,O,O,O
of,O,O,O,O
ordinary,O,O,O,O
cream,O,O,O,O
.,O,O,O,O
when,O,O,O,O
partially,O,O,O,O
heated,O,O,O,O
add,O,O,O,O
the,O,O,O,O
well,O,O,O,O
beaten,O,O,O,O
yo,O,O,O,O
##lk,O,O,O,O
##s,O,O,O,O
of,O,O,O,O
four,O,O,O,O
eggs,O,O,O,O
pinch,O,O,O,O
of,O,O,O,O
salt,O,O,O,O
and,O,O,O,O
two,O,O,O,O
tables,O,O,O,O
##poo,O,O,O,O
##ns,O,O,O,O
of,O,O,O,O
sugar,O,O,O,O
.,O,O,O,O
when,O,O,O,O
thick,O,O,O,O
remove,O,O,O,O
from,O,O,O,O
fire,O,O,O,O
and,O,O,O,O
set,O,O,O,O
aside,O,O,O,O
to,O,O,O,O
cool,O,O,O,O
.,O,O,O,O
while,O,O,O,O
this,O,O,O,O
cu,O,O,O,O
##star,O,O,O,O
##d,O,O,O,O
is,O,O,O,O
cooling,O,O,O,O
drain,O,O,O,O
the,O,O,O,O
juice,O,O,O,O
from,O,O,O,O
the,O,O,O,O
pine,O,O,O,O
##apple,O,O,O,O
and,O,O,O,O
cut,O,O,O,O
the,O,O,O,O
fruit,O,O,O,O
into,O,O,O,O
long,O,O,O,O
slices,O,O,O,O
.,O,O,O,O
to,O,O,O,O
the,O,O,O,O
cut,O,O,O,O
up,O,O,O,O
pine,O,O,O,O
##apple,O,O,O,O
add,O,O,O,O
the,O,O,O,O
cut,O,O,O,O
almond,O,O,O,O
##s,O,O,O,O
and,O,O,O,O
marsh,O,O,O,O
##mal,O,O,O,O
##low,O,O,O,O
##s,O,O,O,O
(,O,O,O,O
each,O,O,O,O
cut,O,O,O,O
in,O,O,O,O
six,O,O,O,O
pieces,O,O,O,O
),O,O,O,O
.,O,O,O,O
fold,O,O,O,O
pine,O,O,O,O
##apple,O,O,O,O
almond,O,O,O,O
##s,O,O,O,O
and,O,O,O,O
marsh,O,O,O,O
##mal,O,O,O,O
##low,O,O,O,O
##s,O,O,O,O
together,O,O,O,O
with,O,O,O,O
a,O,O,O,O
fork,O,O,O,O
.,O,O,O,O
then,O,O,O,O
pour,O,O,O,O
over,O,O,O,O
this,O,O,O,O
mixture,O,O,O,O
the,O,O,O,O
cold,O,O,O,O
cu,O,O,O,O
##star,O,O,O,O
##d,O,O,O,O
.,O,O,O,O
when,O,O,O,O
thoroughly,O,O,O,O
mixed,O,O,O,O
fold,O,O,O,O
in,O,O,O,O
one,O,O,O,O
-,O,O,O,O
half,O,O,O,O
pin,O,O,O,O
##t,O,O,O,O
of,O,O,O,O
whipped,O,O,O,O
cream,O,O,O,O
.,O,O,O,O
a,O,O,O,O
tables,O,O,O,O
##poo,O,O,O,O
##n,O,O,O,O
of,O,O,O,O
lemon,O,O,O,O
may,O,O,O,O
be,O,O,O,O
added,O,O,O,O
if,O,O,O,O
you,O,O,O,O
prefer,O,O,O,O
.,O,O,O,O
set,O,O,O,O
in,O,O,O,O
a,O,O,O,O
cool,O,O,O,O
place,O,O,O,O
until,O,O,O,O
the,O,O,O,O
next,O,O,O,O
day,O,O,O,O
or,O,O,O,O
you,O,O,O,O
can,O,O,O,O
make,O,O,O,O
it,O,O,O,O
in,O,O,O,O
the,O,O,O,O
mor,O,O,O,O
##n,O,O,O,O
-,O,O,O,O
ing,O,O,O,O
and,O,O,O,O
put,O,O,O,O
it,O,O,O,O
in,O,O,O,O
the,O,O,O,O
ice,O,O,O,O
-,O,O,O,O
box,O,O,O,O
until,O,O,O,O
evening,O,O,O,O
.,O,O,O,O
this,O,O,O,O
serves,O,O,O,O
from,O,O,O,O
twelve,O,O,O,O
to,O,O,O,O
fifteen,O,O,O,O
persons,O,O,O,O
.,O,O,O,O
helen,O,O,O,O
g,B-Unit,O,O,O
.,O,O,O,O
burger,O,O,O,O
##t,B-Unit,O,O,O
cedar,O,O,O,O
rapids,O,O,O,O
ia,O,O,O,O
.,O,O,O,O
coe,O,O,O,O
college,O,O,O,O
.,O,O,O,O
california,O,O,O,O
fruit,O,O,O,O
salad,O,O,O,O
2,O,B-Qty,O,O
large,B-Unit,O,O,O
slices,I-Unit,O,O,O
of,O,O,O,O
pine,O,O,O,B-Ing
##apple,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
can,B-Unit,O,O,O
wax,O,O,O,B-Ing
cher,O,O,O,I-Ing
##ries,O,O,O,I-Ing
3,O,B-Qty,O,O
halves,B-Unit,O,O,O
of,I-Unit,O,O,O
pear,I-Unit,O,O,B-Ing
##s,I-Unit,O,O,I-Ing
3,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
pound,B-Unit,O,O,O
marsh,O,O,O,B-Ing
##mal,O,O,O,I-Ing
##low,O,O,O,I-Ing
##s,O,O,O,I-Ing
3,O,B-Qty,O,O
halves,B-Unit,O,O,O
of,I-Unit,O,O,O
peach,I-Unit,O,O,B-Ing
##es,I-Unit,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
mara,O,O,O,B-Ing
##sch,O,O,O,I-Ing
##ino,O,O,O,I-Ing
cher,O,O,O,I-Ing
##ries,O,O,O,I-Ing
1,O,B-Qty,O,O
orange,B-Unit,O,O,I-Ing
1,O,B-Qty,O,O
head,B-Unit,O,O,O
let,O,O,O,B-Ing
##tu,O,O,O,I-Ing
##ce,O,O,O,I-Ing
1,O,B-Qty,O,O
grape,B-Unit,O,O,B-Ing
##fr,I-Unit,O,O,I-Ing
##uit,I-Unit,O,O,I-Ing
1,O,B-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
whipped,O,O,O,B-Ing
cream,O,O,O,I-Ing
dice,O,O,O,O
pine,O,O,O,O
##apple,O,O,O,O
pear,O,O,O,O
##s,O,O,O,O
peach,O,O,O,O
##es,O,O,O,O
orange,O,O,O,O
grape,O,O,O,O
##fr,O,O,O,O
##uit,O,O,O,O
and,O,O,O,O
wax,O,O,O,O
cher,O,O,O,O
-,O,O,O,O
ri,O,O,O,O
##es,O,O,O,O
and,O,O,O,O
mix,O,O,O,O
thoroughly,O,O,O,O
.,O,O,O,O
serve,O,O,O,O
on,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
leaves,O,O,O,O
and,O,O,O,O
ga,O,O,O,O
##rn,O,O,O,O
##ish,O,O,O,O
with,O,O,O,O
whipped,O,O,O,O
cream,O,O,O,O
mara,O,O,O,O
##sch,O,O,O,O
##ino,O,O,O,O
cher,O,O,O,O
##ries,O,O,O,O
and,O,O,O,O
marsh,O,O,O,O
##mal,O,O,O,O
##low,O,O,O,O
##s,O,O,O,O
.,O,O,O,O
color,O,O,O,O
scheme,O,O,O,O
is,O,O,O,O
red,O,O,O,O
buff,O,O,O,O
and,O,O,O,O
green,O,O,O,O
and,O,O,O,O
makes,O,O,O,O
an,O,O,O,O
attractive,O,O,O,O
salad,O,O,O,O
.,O,O,O,O
margaret,O,O,O,O
calder,O,O,O,O
lei,O,O,O,O
##b,O,O,O,O
baltimore,O,O,O,O
md,O,O,O,O
.,O,O,O,O
go,O,O,O,O
##ucher,O,O,O,O
college,O,O,O,O
.,O,O,O,O
c,O,O,O,O
l,O,O,O,O
l,O,O,O,O
e,O,O,O,O
g,O,O,O,O
e,O,O,O,O
w,O,O,O,O
o,O,O,O,O
m,O,O,O,O
a,O,O,O,O
n,O,O,O,O
s,O,O,O,O
c,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
b,O,O,O,O
o,O,O,O,O
o,O,O,O,O
k,O,O,O,O
44,O,O,O,O
can,O,O,O,O
##tal,O,O,O,O
##ou,O,O,O,O
##pe,O,O,O,O
salad,O,O,O,O
a,O,O,O,O
la,O,O,O,O
mexican,O,O,O,O
style,O,O,O,O
2,O,B-Qty,O,O
can,B-Unit,O,O,B-Ing
##tal,I-Unit,O,O,I-Ing
##ou,I-Unit,O,O,I-Ing
##pes,I-Unit,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
salts,B-Unit,O,O,O
##poo,I-Unit,O,O,O
##n,I-Unit,O,O,O
cinnamon,O,O,O,B-Ing
salt,O,O,O,B-Ing
1,O,B-Qty,O,O
pin,B-Unit,O,O,O
##t,I-Unit,O,O,O
double,O,O,O,B-Ing
cream,O,O,O,I-Ing
pa,O,O,O,B-Ing
##pr,O,O,O,I-Ing
##ika,O,O,O,I-Ing
1,O,B-Qty,O,O
tea,B-Unit,O,O,O
##sp,I-Unit,O,O,O
##oon,I-Unit,O,O,O
gel,O,O,O,B-Ing
##atin,O,O,O,I-Ing
##e,O,O,O,I-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
4,O,I-Qty,O,O
cup,B-Unit,O,O,O
bread,O,O,O,B-Ing
cr,O,O,O,I-Ing
##umb,O,O,O,I-Ing
##s,O,O,O,I-Ing
cut,O,O,O,O
the,O,O,O,O
edible,O,O,O,O
portions,O,O,O,O
of,O,O,O,O
the,O,O,O,O
can,O,O,O,O
##tal,O,O,O,O
##ou,O,O,O,O
##pes,O,O,O,O
into,O,O,O,O
small,O,O,O,O
pieces,O,O,O,O
.,O,O,O,O
sp,O,O,O,O
##rin,O,O,O,O
##kle,O,O,O,O
with,O,O,O,O
season,O,O,O,O
##ings,O,O,O,O
.,O,O,O,O
add,O,O,O,O
the,O,O,O,O
cream,O,O,O,O
beaten,O,O,O,O
very,O,O,O,O
stiff,O,O,O,O
to,O,O,O,O
which,O,O,O,O
the,O,O,O,O
dissolved,O,O,O,O
gel,O,O,O,O
##atin,O,O,O,O
##e,O,O,O,O
has,O,O,O,O
been,O,O,O,O
added,O,O,O,O
.,O,O,O,O
beat,O,O,O,O
well,O,O,O,O
until,O,O,O,O
thoroughly,O,O,O,O
mixed,O,O,O,O
.,O,O,O,O
when,O,O,O,O
it,O,O,O,O
begins,O,O,O,O
to,O,O,O,O
set,O,O,O,O
turn,O,O,O,O
into,O,O,O,O
mel,O,O,O,O
##on,O,O,O,O
mold,O,O,O,O
which,O,O,O,O
has,O,O,O,O
been,O,O,O,O
wet,O,O,O,O
in,O,O,O,O
cold,O,O,O,O
water,O,O,O,O
.,O,O,O,O
bury,O,O,O,O
in,O,O,O,O
ice,O,O,O,O
and,O,O,O,O
salt,O,O,O,O
for,O,O,O,O
at,O,O,O,O
least,O,O,O,O
two,O,O,O,O
hours,O,O,O,O
.,O,O,O,O
when,O,O,O,O
ready,O,O,O,O
to,O,O,O,O
serve,O,O,O,O
wipe,O,O,O,O
the,O,O,O,O
mold,O,O,O,O
with,O,O,O,O
a,O,O,O,O
cloth,O,O,O,O
wet,O,O,O,O
in,O,O,O,O
cold,O,O,O,O
water,O,O,O,O
and,O,O,O,O
turn,O,O,O,O
on,O,O,O,O
a,O,O,O,O
bed,O,O,O,O
of,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
surrounded,O,O,O,O
with,O,O,O,O
a,O,O,O,O
very,O,O,O,O
delicate,O,O,O,O
pink,O,O,O,O
mayo,O,O,O,O
##nna,O,O,O,O
##ise,O,O,O,O
.,O,O,O,O
emily,O,O,O,O
m,O,O,O,O
.,O,O,O,O
brown,O,O,O,O
hon,O,O,O,O
##es,O,O,O,O
##dale,O,O,O,O
pa,O,O,O,O
.,O,O,O,O
syracuse,O,O,O,O
university,O,O,O,O
.,O,O,O,O
orange,O,O,O,O
peanut,O,O,O,O
salad,O,O,O,O
1,O,B-Qty,O,O
banana,B-Unit,O,O,B-Ing
1,O,B-Qty,O,O
/,O,I-Qty,O,O
2,O,I-Qty,O,O
cup,B-Unit,O,O,O
peanuts,O,O,O,B-Ing
2,O,B-Qty,O,O
orange,B-Unit,O,O,B-Ing
##s,I-Unit,O,O,I-Ing
let,O,O,O,B-Ing
##tu,O,O,O,I-Ing
##ce,O,O,O,I-Ing
french,O,O,O,B-Ing
dressing,O,O,O,I-Ing
remove,O,O,O,O
skin,O,O,O,O
from,O,O,O,O
banana,O,O,O,O
;,O,O,O,O
scrape,O,O,O,O
and,O,O,O,O
cut,O,O,O,O
in,O,O,O,O
quarters,O,O,O,O
(,O,O,O,O
length,O,O,O,O
##wise,O,O,O,O
),O,O,O,O
and,O,O,O,O
thirds,O,O,O,O
(,O,O,O,O
cross,O,O,O,O
##wise,O,O,O,O
),O,O,O,O
and,O,O,O,O
roll,O,O,O,O
in,O,O,O,O
peanuts,O,O,O,O
finely,O,O,O,O
chopped,O,O,O,O
.,O,O,O,O
par,O,O,O,O
##e,O,O,O,O
orange,O,O,O,O
##s,O,O,O,O
cut,O,O,O,O
in,O,O,O,O
slices,O,O,O,O
(,O,O,O,O
cross,O,O,O,O
##wise,O,O,O,O
),O,O,O,O
;,O,O,O,O
stamp,O,O,O,O
out,O,O,O,O
center,O,O,O,O
and,O,O,O,O
insert,O,O,O,O
a,O,O,O,O
piece,O,O,O,O
of,O,O,O,O
banana,O,O,O,O
through,O,O,O,O
each,O,O,O,O
slice,O,O,O,O
.,O,O,O,O
arrange,O,O,O,O
on,O,O,O,O
bed,O,O,O,O
of,O,O,O,O
let,O,O,O,O
##tu,O,O,O,O
##ce,O,O,O,O
and,O,O,O,O
serve,O,O,O,O
with,O,O,O,O
french,O,O,O,O
dressing,O,O,O,O
.,O,O,O,O
gladys,O,O,O,O
duval,O,O,O,O
##l,O,O,O,O
co,O,O,O,O
##rval,O,O,O,O
##lis,O,O,O,O
